client_id,tax_year,return_status,filed_date,agi,taxable_income,income_tax,self_employment_tax,net_investment_income_tax,additional_medicare_tax,total_tax,federal_withholding,estimated_payments,total_payments,balance_due,overpayment,overpayment_applied_to_next_year
C-1013,2024,filed,2025-03-28,403963.06,305853.86,77557.18,30777.9,5900.05,1945.63,116180.76,21248.69,88648.61,109897.3,6283.46,0.0,0.0
C-1014,2024,filed,2025-03-28,234772.58,193494.31,52845.38,0.0,0.0,0.0,52845.38,27177.08,9462.97,36640.05,16205.33,0.0,0.0
C-1015,2024,filed,2025-03-28,338091.25,281666.27,70116.55,0.0,2921.52,0.0,73038.07,38126.1,34873.46,72999.56,38.51,0.0,0.0
C-1016,2024,filed,2025-03-28,165834.81,145887.12,37866.15,0.0,0.0,0.0,37866.15,14413.18,23652.66,38065.84,0.0,199.69,0.0
C-1017,2024,filed,2025-03-28,147900.0,127946.2,35100.0,0.0,0.0,0.0,35100.0,18587.51,15665.28,34252.79,847.21,0.0,0.0
C-1018,2024,filed,2025-03-28,142164.97,111178.35,25485.55,11775.01,0.0,0.0,37260.55,0.0,16279.0,16279.0,20981.55,0.0,0.0
C-1019,2024,filed,2025-03-28,359270.45,261056.43,53809.8,31913.7,4942.31,0.0,90665.81,0.0,87101.42,87101.42,3564.39,0.0,0.0
C-1020,2024,filed,2025-03-28,41787.46,33795.99,0.0,0.0,0.0,0.0,0.0,1237.8,0.0,1237.8,0.0,1237.8,0.0
C-1021,2024,filed,2025-03-28,173705.21,146297.23,31318.98,0.0,0.0,0.0,31318.98,14101.43,8764.82,22866.25,8452.73,0.0,0.0
C-1022,2024,filed,2025-03-28,147566.25,128832.06,18374.2,15657.07,0.0,0.0,34031.27,0.0,31425.17,31425.17,2606.1,0.0,0.0
C-1023,2024,filed,2025-03-28,133023.4,99749.55,23689.8,0.0,0.0,0.0,23689.8,20774.21,0.0,20774.21,2915.59,0.0,0.0
C-1024,2024,extended - not filed,,254090.36,218855.49,37343.57,21726.65,0.0,0.0,59070.22,8527.78,43217.44,51745.22,7325.0,0.0,0.0
C-1025,2024,filed,2025-03-28,137888.86,102601.68,29244.64,0.0,0.0,0.0,29244.64,22647.28,7977.53,30624.81,0.0,1380.17,0.0
C-1026,2024,filed,2025-03-28,250649.69,201210.75,60011.41,0.0,2500.48,0.0,62511.88,15722.13,24653.47,40375.6,22136.28,0.0,0.0
C-1027,2024,filed,2025-03-28,202470.1,161448.55,38693.55,13569.44,0.0,0.0,52263.0,0.0,15744.45,15744.45,36518.55,0.0,0.0
C-1028,2024,filed,2025-03-28,353919.64,309347.32,61801.66,0.0,0.0,0.0,61801.66,28233.06,0.0,28233.06,33568.6,0.0,0.0
C-1029,2024,filed,2025-03-28,178267.1,137438.66,41598.4,0.0,0.0,0.0,41598.4,24123.44,0.0,24123.44,17474.96,0.0,0.0
C-1030,2024,filed,2025-03-28,153400.0,112604.31,36900.0,0.0,0.0,0.0,36900.0,20817.43,14952.35,35769.78,1130.22,0.0,0.0
C-1031,2024,filed,2025-03-28,190019.98,163561.37,43869.45,0.0,0.0,0.0,43869.45,15677.31,0.0,15677.31,28192.14,0.0,0.0
C-1032,2024,filed,2025-03-28,94907.32,77318.0,16905.38,0.0,0.0,0.0,16905.38,6968.01,4350.21,11318.22,5587.16,0.0,0.0
C-1034,2024,filed,2025-03-28,78035.76,66853.99,12748.99,5380.31,0.0,0.0,18129.3,0.0,3906.35,3906.35,14222.95,0.0,0.0
C-1035,2024,filed,2025-03-28,175579.72,142268.29,22526.72,18086.32,0.0,0.0,40613.04,0.0,38151.87,38151.87,2461.17,0.0,0.0
C-1036,2024,filed,2025-03-28,209037.36,182912.63,41385.0,0.0,0.0,0.0,41385.0,32973.38,0.0,32973.38,8411.62,0.0,0.0
C-1037,2024,filed,2025-03-28,183984.54,159077.01,34137.43,0.0,0.0,0.0,34137.43,18285.57,12668.2,30953.77,3183.66,0.0,0.0
C-1038,2024,filed,2025-03-28,354280.09,282235.54,57788.52,27663.82,0.0,0.0,85452.34,0.0,21092.08,21092.08,64360.26,0.0,0.0
C-1039,2024,filed,2025-03-28,124026.99,94887.1,13828.61,9117.97,0.0,0.0,22946.58,2945.5,19261.45,22206.95,739.63,0.0,0.0
C-1040,2024,filed,2025-03-28,210238.67,151837.45,49123.49,0.0,0.0,0.0,49123.49,29536.1,15988.17,45524.27,3599.22,0.0,0.0
C-1041,2024,filed,2025-03-28,281206.02,206124.16,75478.17,0.0,0.0,0.0,75478.17,12598.07,60027.52,72625.59,2852.58,0.0,0.0
C-1042,2024,filed,2025-03-28,142628.34,117109.85,21397.55,0.0,0.0,0.0,21397.55,21207.98,0.0,21207.98,189.57,0.0,0.0
C-1043,2024,filed,2025-03-28,392622.29,306328.29,75813.92,0.0,0.0,0.0,75813.92,26164.67,0.0,26164.67,49649.25,0.0,0.0
C-1044,2024,filed,2025-03-28,310351.71,260280.65,75803.07,0.0,0.0,0.0,75803.07,28325.29,37324.58,65649.87,10153.2,0.0,0.0
C-1045,2024,filed,2025-03-28,302093.89,264045.95,53079.39,15194.74,0.0,0.0,68274.13,0.0,32658.12,32658.12,35616.01,0.0,0.0
C-1046,2024,filed,2025-03-28,112242.66,97819.62,14888.05,5459.95,0.0,0.0,20348.0,0.0,10109.39,10109.39,10238.61,0.0,0.0
C-1047,2024,filed,2025-03-28,203801.65,171164.59,39835.01,0.0,1889.4,0.0,41724.41,35745.6,0.0,35745.6,5978.81,0.0,0.0
